0,0,-0.010587,0.482518,0.033409,-0.875185,0.249062,1.288187,2.37271
1,0.004167,-0.010851,0.482661,0.032657,-0.875131,0.246198,1.288685,2.37332
2,0.008333,-0.010788,0.484278,0.030971,-0.874299,0.243409,1.289201,2.373829
3,0.0125,,,,,,,
4,0.016667,-0.011604,0.484212,0.029321,-0.874382,0.23785,1.290102,2.37495
5,0.020833,-0.012101,0.484956,0.02757,-0.87402,0.235053,1.290544,2.37556
6,0.025,-0.01198,0.485249,0.026535,-0.873891,0.232348,1.2909,2.376157
7,0.029167,-0.012788,0.485402,0.025206,-0.873834,0.229668,1.291302,2.376755
8,0.033333,-0.013318,0.485985,0.023563,-0.873548,0.22694,1.291689,2.377503
9,0.0375,-0.012452,0.486409,0.023518,-0.873326,0.224322,1.292044,2.378085
10,0.041667,-0.013195,0.486504,0.022684,-0.873284,0.22166,1.292415,2.378869
11,0.045833,-0.013122,0.487686,0.021905,-0.872646,0.21904,1.292711,2.379594
12,0.05,-0.013685,0.488235,0.021113,-0.87235,0.216472,1.293018,2.380315
13,0.054167,-0.013924,0.48893,0.02005,-0.871981,0.213828,1.293344,2.381238
14,0.058333,-0.014166,0.489698,0.019112,-0.871568,0.21138,1.293558,2.38197
15,0.0625,-0.015411,0.490753,0.018221,-0.870972,0.208806,1.293828,2.382852
16,0.066667,-0.016063,0.491455,0.01748,-0.870579,0.206263,1.294017,2.383769
17,0.070833,-0.015995,0.492388,0.017315,-0.870057,0.203809,1.294201,2.384517
18,0.075,-0.015143,0.492483,0.017507,-0.870014,0.201242,1.294406,2.385482
19,0.079167,-0.015076,0.493752,0.017497,-0.869296,0.198772,1.294565,2.386359
20,0.083333,-0.015964,0.493425,0.01714,-0.869473,0.196283,1.294739,2.387219
21,0.0875,-0.01677,0.495546,0.01624,-0.868268,0.193701,1.294911,2.38828
22,0.091667,-0.017685,0.496276,0.015538,-0.867845,0.19132,1.295043,2.389087
23,0.095833,-0.018071,0.496905,0.014657,-0.867493,0.188748,1.295138,2.390048
24,0.1,-0.018873,0.497726,0.013666,-0.867022,0.186261,1.295244,2.390975
25,0.104167,-0.017967,0.497895,0.014057,-0.866937,0.183793,1.29532,2.391843
26,0.108333,-0.018104,0.49865,0.013605,-0.866508,0.181215,1.295405,2.392881
27,0.1125,-0.018155,0.499305,0.012964,-0.866139,0.178686,1.295445,2.393785
28,0.116667,-0.019236,0.49966,0.011814,-0.865928,0.176164,1.295473,2.394776
29,0.120833,-0.020373,0.500524,0.010295,-0.865422,0.173656,1.295521,2.395738
30,0.125,-0.022005,0.500965,0.009638,-0.865134,0.171172,1.295544,2.396728
31,0.129167,-0.021853,0.501024,0.008943,-0.865111,0.168608,1.295584,2.397833
